89.675, -29.713, 63.344
89.736, -34.79, 62.509
89.456, -39.86, 61.645
88.801, -44.897, 60.785
87.729, -49.86, 59.799
86.175, -54.691, 58.689
84.097, -59.322, 58.311
81.542, -63.708, 58.218
78.456, -67.739, 57.4
74.963, -71.422, 56.243
71.067, -74.676, 55.061
66.888, -77.561, 53.853
62.456, -80.038, 52.618
57.859, -82.197, 51.352
53.114, -84.013, 50.055
48.278, -85.565, 48.723
43.373, -86.883, 47.353
38.41, -87.96, 45.943
33.409, -88.859, 44.488
28.385, -89.599, 42.983
23.34, -90.193, 41.424
18.28, -90.648, 39.804
13.213, -90.993, 38.115
8.138, -91.244, 36.348
3.061, -91.41, 34.491
-2.017, -91.501, 32.527
-7.097, -91.524, 30.437
-12.177, -91.488, 28.192
-17.257, -91.41, 25.753
-22.337, -91.293, 23.056
-27.414, -91.145, 20
-29.787, -91.069, 0
-29.787, -91.069, 0
-80.561, -89.446, 0
endData
